Year,Earthquake,Epidemic,Flood,Mass movement (wet),Storm
1900,1,1,1,0,1
1901,1,1,0,0,0
1902,4,0,0,0,1
1903,5,0,2,0,2
1904,3,0,0,0,1
1905,6,0,0,0,1
1906,6,0,0,0,3
1907,2,1,0,0,0
1908,2,0,0,0,0
1909,8,2,1,1,5
1910,4,1,1,1,1
1911,5,0,1,0,2
1912,1,0,0,0,5
1913,4,0,0,0,1
1914,6,0,0,0,1
1915,3,0,1,1,2
1916,2,0,0,0,1
1917,4,1,1,0,2
1918,3,3,0,0,1
1919,0,1,0,0,2
1920,5,3,1,0,1
1921,0,1,0,0,0
1922,3,1,0,1,2
1923,6,3,0,1,6
1924,6,1,0,0,2
1925,8,0,1,0,3
1926,1,1,3,2,7
1927,4,0,2,0,4
1928,7,0,2,0,7
1929,2,0,0,0,2
1930,15,0,0,1,4
1931,6,0,1,1,4
1932,6,1,0,1,5
1933,5,0,2,0,3
1934,3,0,0,1,4
1935,7,1,1,0,7
1936,11,0,1,1,5
1937,3,0,2,0,3
1938,2,0,2,1,2
1939,7,0,2,0,2
1940,7,1,3,0,3
1941,8,0,0,1,4
1942,8,0,0,0,3
1943,9,0,2,0,3
1944,6,0,0,0,5
1945,8,1,0,0,7
1946,10,0,0,0,5
1947,3,1,1,0,7
1948,7,0,5,2,10
1949,7,0,2,1,8
1950,7,1,10,1,7
1951,7,0,7,1,11
1952,13,0,4,1,9
1953,9,1,12,0,11
1954,5,0,9,8,10
1955,6,0,3,2,19
1956,6,0,9,5,14
1957,7,0,11,0,9
1958,5,0,3,1,13
1959,3,0,13,1,16
1960,8,0,7,2,20
1961,3,0,8,2,14
1962,4,0,8,2,13
1963,3,3,8,2,21
1964,7,3,22,1,22
1965,8,6,19,6,19
1966,13,2,23,4,27
1967,15,5,26,2,25
1968,16,4,20,4,25
1969,11,14,14,1,25
1970,12,4,31,6,24
1971,6,2,15,6,22
1972,7,1,15,5,26
1973,8,0,20,5,22
1974,6,2,17,10,28
1975,5,1,17,5,25
1976,21,3,16,6,30
1977,14,22,47,3,29
1978,9,21,47,2,38
1979,22,3,34,7,30
1980,17,8,39,4,36
1981,15,5,41,8,47
1982,15,7,48,12,51
1983,26,7,48,16,55
1984,13,12,46,6,53
1985,17,13,57,6,49
1986,21,11,49,9,53
1987,15,25,66,14,57
1988,15,20,75,15,60
1989,19,16,46,15,72
1990,41,18,60,5,135
1991,29,43,75,9,66
1992,25,28,58,8,76
1993,20,4,84,25,107
1994,25,10,88,11,80
1995,26,25,93,16,80
1996,13,45,92,24,76
1997,22,62,95,13,79
1998,30,73,94,22,88
1999,33,77,122,18,106
2000,30,113,147,28,102
2001,25,69,151,24,105
2002,37,83,165,19,123
2003,40,32,156,21,86
2004,42,34,125,15,124
2005,25,53,190,13,130
2006,24,57,225,20,76
2007,21,35,215,10,104
2008,23,41,163,12,112
2009,22,44,151,28,87
2010,24,41,184,32,94
2011,30,27,153,16,84
2012,27,25,136,13,91
2013,29,23,148,10,105
2014,26,21,136,15,99
2015,23,16,161,20,121
2016,30,25,159,13,86
2017,22,27,127,25,130
2018,20,17,127,12,95
2019,31,37,195,25,92
2020,16,7,201,19,126
2021,28,7,222,12,121
2022,31,18,177,17,109
2023,32,16,163,24,139
2024,13,2,125,29,126
